video_id,upload_days,title,description,tags,duration,subscriber_count,view22,like_22,comment_22,view_inc_23,view_inc_24_noon,view_inc_24_night,view_inc_25_noon,view_inc_25_night,like_inc_23,like_inc_24_noon,like_inc_24_night,like_inc_25_noon,like_inc_25_night,comment_inc_23,comment_inc_24_noon,comment_inc_24_night,comment_inc_25_noon,comment_inc_25_night,like_26,comment_26,view_26
Em-yxcCksJA,1482,1,0,0,2.6,52400,2524,20,0,8,2,0,4,2,0,0,0,0,0,0,0,0,0,0,20,0,2541
6f8XIy-Fo4c,524,0,0,0,66.53333,100000,605,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,605
fLmvhgR-bvM,523,0,0,0,151.63333,0,41447,62,1,23,9,4,14,6,0,0,0,0,0,0,0,0,0,0,62,1,41536
uChpEqyAOtA,101,2,14,13,58.266666,393000,41438,206,2,4751,4249,1237,788,764,24,23,2,5,3,0,0,1,0,0,271,3,54227
IJ9B-4zofYE,59,0,0,0,66.63333,393000,1024,24,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1030
scyfesz3iFM,367,2,21,22,150.33333,413000,30844,122,8,124,176,78,62,27,0,1,0,0,0,0,0,0,0,0,124,8,31346
21ywaiV7kso,441,3,53,21,80.86667,100000,14328,152,7,22,20,2,1,1,0,0,0,0,0,0,0,0,0,0,152,7,14379
7YEuVo_hg1o,757,1,16,16,161.41667,1710000,414607,1667,112,359,295,127,172,56,3,3,1,5,0,0,0,0,0,0,1680,112,415775
a2m37a1dV48,1748,0,0,0,0.93333334,1710000,7053,13,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,13,0,7056
k2KMnpD46jI,2818,0,0,0,1.8166667,37500000,38471434,44161,0,8260,7681,3188,2601,3108,8,9,5,2,8,0,0,0,0,0,44202,0,38502857
TaWNPpKCVic,1737,0,0,0,3.1166666,52400,459328,3654,181,1710,2521,997,924,951,12,9,3,3,6,0,0,0,0,0,3695,181,467603
lcKQS_n0ss0,1588,0,0,0,62.7,37500000,13903499,32886,0,628,498,248,186,185,1,0,0,0,0,0,0,0,0,0,32886,0,13905600
c3hiSh0n2PY,49,3,7,19,63.7,0,28426,527,7,653,511,141,213,175,0,1,0,0,0,0,0,0,0,0,529,7,30380
yKCQqt-K_es,374,2,8,18,38.283333,1710000,49922,516,40,21,17,12,6,1,0,0,0,0,0,0,0,0,0,0,516,40,49988
