video_id,view_22,like_22,subscriber_count,comment_22,view_23,like_23,comment_23,view_24,like_24,comment_24,view_24_23,like_24_23,comment_24_23,view_25_9,like_25_9,comment_25_9,view_25_17,like_25_17,comment_25_17,view_26,like_26,comment_26
dsd3is3M1i0,882,16,100000,2,882,16,2,882,16,2,882,16,2,882,16,2,882,16,2,882,16,2
pt1hZ_yG498,32068,1977,3210000,74,32839,2016,75,33344,2039,76,33559,2045,76,33743,2051,76,33929,2059,76,34348,2073,76
eR7B5cp2J74,18299,278,100000,16,18325,278,16,18345,278,16,18350,278,16,18356,278,16,18359,278,16,18369,279,16
zA_hxZ4n8Xw,11446,187,100000,9,11659,188,9,11959,189,9,12099,190,9,12192,190,9,12256,190,9,12397,190,10
6g4qZh9qt_k,23099528,63464,37500000,0,23114551,63504,0,23129333,63532,0,23134051,63544,0,23139672,63565,0,23144364,63572,0,23159091,63600,0
Vc8HT3xLpmE,7620,7,52400,0,7670,7,0,7763,7,0,7799,7,0,7883,7,0,7931,7,0,8008,7,0
eggXukdl4ag,5056,56,393000,4,5329,58,4,5618,63,5,5755,64,5,5844,64,5,5933,64,5,6051,64,5
GVTfHUBQ3V4,322284,1270,0,38,331993,1294,38,355719,1327,42,362259,1338,42,370492,1357,42,373544,1365,42,377477,1369,42
ilyOd8NVXZA,88928,1064,8220000,52,88949,1065,52,88963,1065,52,88970,1065,52,88974,1065,52,88975,1065,52,88992,1066,52
BuU9FQWcxNA,377805,2946,297000,304,377882,2949,304,377952,2949,304,377989,2949,304,378012,2949,304,378037,2950,304,378101,2950,304
YGQLVUlAvdQ,111626,452,413000,30,113501,457,30,116155,467,31,117695,470,31,119075,471,31,120172,471,31,120885,471,31
I6n_kd2Zpxo,45666,274,413000,23,49591,284,22,52501,298,24,55041,310,24,55939,319,24,56758,322,24,57459,328,25
3ffPH0sBCwQ,83360,567,413000,13,145913,989,19,210808,1387,25,226922,1462,25,242643,1513,27,251926,1530,28,260212,1544,30
6B9J3lEyffA,105457555,508261,50700000,9480,105465531,508286,9480,105473609,508317,9481,105476390,508337,9481,105480235,508349,9481,105482717,508354,9481,105488844,508371,9482
Gj8OaaX7uQg,64505041,213220,37500000,0,64545558,213353,0,64577620,213469,0,64586654,213511,0,64600897,213575,0,64610059,213592,0,64635359,213655,0
wM6ppOuPuxk,806899,1335,1710000,42,808919,1340,42,811405,1350,42,812609,1354,42,814057,1357,42,815066,1358,42,816051,1363,42
GkqhHEAy1zw,29138221,122397,3410000,2460,29151114,122471,2461,29161112,122513,2462,29164616,122530,2462,29169040,122554,2462,29170802,122569,2463,29180937,122613,2462
CORgL-Iejps,341892,2002,413000,192,342001,2001,192,342116,2001,192,342202,2001,192,342250,2001,192,342308,2001,192,342394,2002,192
9DskxlWy67k,87835,5921,3410000,25,87838,5921,25,87838,5921,25,87838,5920,25,87838,5920,25,87839,5920,25,87841,5920,25
KJ5eNdtDA58,54739,1077,8220000,116,54749,1077,116,54758,1077,116,54763,1078,116,54767,1078,116,54769,1078,116,54782,1080,116
Z7EoNDRkRbo,392,9,393000,1,392,9,1,392,9,1,392,9,1,392,9,1,392,9,1,392,9,1
e24VNwN4Crs,94078,796,297000,65,94086,796,65,94097,797,65,94100,797,65,94104,797,65,94109,797,65,94117,798,65
94b1PHXiFvk,40926,2041,3410000,30,40932,2041,30,40935,2041,30,40936,2041,30,40938,2041,30,40938,2041,30,40940,2041,30
aaCYgQPe1Jk,25315,116,413000,19,25347,116,19,25384,116,19,25401,117,19,25409,117,19,25413,117,19,25420,117,19
0j89y69z_Cc,14686,443,297000,31,14712,445,31,14761,448,31,14776,448,31,14787,449,31,14802,449,31,14826,450,31
r8DsMvy8kGM,6846742,0,37500000,0,6847298,0,0,6847828,0,0,6848059,0,0,6848164,0,0,6848367,0,0,6848789,0,0
FO6KdlnDgQY,228375,3650,8220000,402,228420,3650,402,228472,3651,402,228484,3652,402,228507,3653,402,228516,3653,402,228550,3653,402
DH-cm4NarqM,35836,113,52400,3,35931,114,3,36303,124,3,36446,127,3,36573,131,3,36693,131,3,36782,131,3
mguIjNBfr1g,44906,893,297000,65,45013,896,65,45107,899,65,45136,898,65,45186,896,65,45222,897,65,45319,898,66
0CeB81uYd_k,379,17,393000,0,379,17,0,379,17,0,379,17,0,379,17,0,379,17,0,380,17,0
CQvr9bT3biU,5281,40,52400,30,5304,40,30,5339,40,30,5356,40,30,5366,40,30,5385,40,30,5397,40,30
QBrlYtV60GA,28062535,112999,3210000,10021,28063770,113017,10021,28065197,113024,10021,28065899,113029,10021,28066464,113029,10021,28066899,113033,10021,28067835,113038,10021
gEN6JoaniB0,216339,1543,52400,104,218016,1561,105,220258,1577,106,221170,1582,106,221890,1596,107,222519,1599,107,223630,1614,107
BWUtM9_Wkp4,18555,80,0,3,18681,80,3,18761,80,3,18791,82,3,18814,82,3,18832,82,3,18852,82,3
--vtqk5Q154,360501,16461,50700000,655,361964,16480,655,363338,16499,655,363816,16501,655,364324,16513,655,364831,16517,656,365833,16529,657
iesBQqCmwKY,782,16,393000,0,782,16,0,782,16,0,782,16,0,782,16,0,782,16,0,782,16,0
vqbf2a0hm8M,1549,45,393000,3,1550,45,3,1550,45,3,1550,45,3,1550,45,3,1551,45,3,1551,45,3
u2onLv_HpCk,738,38,393000,3,738,38,3,738,38,3,738,38,3,738,38,3,738,38,3,738,38,3
yqcZPeMPJzU,1690517,10263,1710000,497,1711518,10441,499,1747028,10778,505,1763026,10979,508,1785525,11183,512,1791769,11222,515,1805086,11346,520
DSCqbqjeyWE,457001,1187,37500000,0,457990,1191,0,459192,1196,0,459708,1198,0,460167,1201,0,460653,1202,0,462020,1208,0
2m_Ow4yk1Rw,506270,396,1710000,0,506359,396,0,506450,396,0,506473,396,0,506508,396,0,506560,396,0,506677,397,0
Mk6ZzzWWJ1A,3766432,39260,3210000,932,3977840,39864,941,4304216,40676,947,4450738,40948,951,4534983,41240,954,4581686,41394,955,4644075,41676,958
VmRb60SZSvI,149013,1537,8220000,129,149027,1537,129,149044,1537,129,149046,1537,129,149049,1537,129,149053,1537,129,149063,1538,129
0mO_4dY-pUM,98375,379,3210000,80,98375,379,80,98375,379,80,98375,379,80,98375,379,80,98375,379,80,98376,379,80
TPL0Ggzy1F8,4398385,112267,50700000,3536,4404074,112310,3537,4409407,112341,3537,4411252,112354,3537,4413262,112366,3537,4415079,112383,3537,4419226,112416,3536
UqbaZfGNKmw,52121,723,100000,27,56153,784,27,58834,807,27,59586,822,27,60645,831,28,60848,832,28,61940,841,29
zMNIzqeRsXI,12044820,17611,37500000,0,12047814,17619,0,12050389,17624,0,12051271,17623,0,12052165,17624,0,12052927,17625,0,12054329,17627,0
DxEKA3m5gOM,9734,63,52400,5,9781,63,5,9855,63,5,9913,64,5,9934,64,5,9962,64,5,10011,65,5
yTbBqxIWecA,1560585,12172,100000,440,1564070,12197,441,1568772,12219,441,1571157,12236,441,1572860,12243,441,1573255,12247,441,1574366,12258,442
vxIvqjE72Wc,99196,1078,52400,58,99499,1082,58,100038,1087,58,100288,1089,58,100486,1091,58,100642,1092,58,100825,1097,58
aNpEcqQaA0A,579769,2295,37500000,0,580476,2295,0,581109,2296,0,581306,2297,0,581452,2296,0,581662,2296,0,582138,2296,0
KWxZf5K6OK4,219056,2616,3410000,64,220753,2630,64,225139,2657,65,228131,2675,64,230726,2693,64,232744,2708,64,235279,2718,64
YX567nlWmA0,11484,55,0,8,12352,56,8,12977,56,8,13153,56,8,13345,57,8,13412,57,8,13576,57,8
Gk7eA5aD80c,37724,402,100000,21,37729,402,21,37740,402,21,37745,402,21,37751,402,21,37751,402,21,37753,402,21
4aQl9Gt04Cc,1235,10,52400,2,1236,10,2,1236,10,2,1237,10,2,1237,10,2,1237,10,2,1237,10,2
WfBhVDbc7kg,108087,759,3410000,25,108090,759,25,108091,759,25,108091,759,25,108091,759,25,108091,759,25,108091,759,25
62csIqYSmBY,81215,819,0,15,82897,826,15,83899,832,16,84119,834,16,84631,836,16,84798,837,16,85295,840,16
Pzc9_XBsKLM,804,26,393000,0,810,26,0,814,26,0,815,26,0,819,27,0,821,27,0,822,27,0
rPUSworHQLQ,483,3,100000,0,484,3,0,485,3,0,486,3,0,486,3,0,487,3,0,487,3,0
vy8BKFMVQn4,76968,929,0,19,78578,934,19,79812,936,19,80069,936,19,80509,936,19,80805,937,19,81579,939,19
NnwvVbd4oL8,1598,26,393000,2,1962,28,2,2118,28,2,2151,28,2,2167,28,2,2184,28,2,2196,28,2
U4_9Vhfm6a4,38333,300,0,29,39829,305,29,41017,317,30,41292,322,31,41798,324,31,42046,324,31,42598,329,31
eWi9fy1YiyU,22285,343,100000,30,22574,347,30,22910,349,30,23005,350,30,23066,351,30,23081,351,30,23189,353,30
n-78InuxECM,38380,88,0,2,40121,90,2,41754,91,2,42222,91,2,42617,91,2,42816,92,2,43122,92,2
xqyqAW142pI,6927538,18232,37500000,0,6931484,18239,0,6935401,18242,0,6936635,18246,0,6938618,18251,0,6939578,18254,0,6942685,18265,0
eNauqdUxAB4,360,11,0,2,382,11,2,404,12,2,412,12,2,419,12,2,422,12,2,424,12,2
okKzf8SnH5Y,733779,4133,393000,107,734523,4143,107,735283,4149,107,735581,4154,107,735927,4155,107,736076,4156,107,736724,4162,110
yh_sCCrkUcw,247633,1711,52400,108,249163,1728,108,251006,1750,109,252376,1765,111,253195,1774,112,254162,1780,112,255116,1788,112
DYmVgyxtMkU,58613194,149520,37500000,0,58669484,149735,0,58726133,149971,0,58735707,150002,0,58758776,150114,0,58771373,150137,0,58815482,150329,0
V8oS44zi3o4,14471,123,0,2,14482,124,2,14493,124,2,14496,124,2,14498,124,2,14501,124,2,14509,124,2
7dwWb7h84v4,164311,3195,0,41,165654,3216,41,166804,3238,42,167185,3246,42,167950,3255,42,168198,3262,42,170095,3291,42
GCxFfTI81Ks,1973426,37710,50700000,1026,1973674,37711,1026,1973914,37713,1026,1974004,37714,1026,1974100,37715,1026,1974171,37718,1026,1974377,37718,1026
YxBArtduENk,53773,329,0,12,53783,329,12,53786,329,12,53787,329,12,53792,329,12,53794,329,12,53802,329,12
